epoch,step,lr,cfm,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,120,6e-06,3.00739,-0.00251424,0,0.00839504,0.0078644,0,0.921875,17602.8,1,1,368.347,0.999949,368.328,16.1657,0.123719,144,3.00736
0,121,6.05e-06,2.08293,-0.00250756,0,0.00836884,0.00779403,0,0.922481,17604.8,1,1,117.833,0.999931,117.825,15.9815,0.125144,493.5,2.08291
0,122,6.1e-06,1.54636,-0.00236499,0,0.00789286,0.00777865,0,0.923077,17603.1,1,1,9.88512,0.999558,9.88075,16.2475,0.123096,772.5,1.54633
0,123,6.15e-06,2.04566,-0.00253174,0,0.00844883,0.00777502,0,0.923664,17602.8,1,1,26.0711,0.999518,26.0585,16.0153,0.124881,531.5,2.04563
0,124,6.2e-06,1.54946,-0.00236658,0,0.00789817,0.00773675,0,0.924242,17602.7,1,1,7.21702,0.99939,7.21262,16.1857,0.123566,764.5,1.54944
0,125,6.25e-06,2.0658,-0.00247934,0,0.00827475,0.00780594,0,0.924812,17606.5,1,1,27.8273,0.999576,27.8155,16.2446,0.123118,550,2.06578
0,126,6.3e-06,1.44114,-0.00231914,0,0.00774007,0.00765236,0,0.925373,17605.9,1,1,16.9907,0.999762,16.9867,16.256,0.123032,852,1.44112
0,127,6.35e-06,2.71786,-0.00267472,0,0.00892832,0.00793241,0,0.925926,17606.1,1,1,160.496,0.999905,160.481,16.2979,0.122715,274.5,2.71783
0,128,6.4e-06,1.93944,-0.00233912,0,0.00780778,0.00771844,0,0.926471,17609.2,1,1,11.0744,0.998156,11.054,16.2041,0.123425,638,1.93942
0,129,6.45e-06,1.91132,-0.00240694,0,0.00803365,0.00769205,0,0.927007,17612.5,1,1,18.4681,0.999444,18.4578,16.2592,0.123007,641.5,1.9113
0,130,6.5e-06,1.99991,-0.00242367,0,0.00808877,0.00763394,0,0.927536,17607.3,1,1,51.0574,0.999915,51.0531,16.3419,0.122384,577,1.99989
0,131,6.55e-06,1.37546,-0.00239941,0,0.00800759,0.00745743,0,0.928058,17610.3,1,1,14.3642,0.999689,14.3597,16.1135,0.124119,855,1.37544
0,132,6.6e-06,2.41831,-0.00236939,0,0.00790959,0.00767612,0,0.928571,17608.6,1,1,129.182,0.999904,129.17,15.9471,0.125415,340,2.41829
0,133,6.65e-06,2.04377,-0.00233068,0,0.00778119,0.00760243,0,0.929078,17608.5,1,1,196.831,0.999961,196.823,16.3921,0.12201,561,2.04375
0,134,6.7e-06,2.46539,-0.00242079,0,0.00807987,0.00757677,0,0.929577,17607.9,1,1,94.0513,0.999883,94.0402,16.2883,0.122788,369.5,2.46537
0,135,6.75e-06,2.62314,-0.00248426,0,0.00829247,0.00763538,0,0.93007,17610,1,1,59.7993,0.999524,59.7708,16.1053,0.124183,291,2.62311
0,136,6.8e-06,2.67131,-0.00251491,0,0.00839994,0.00782592,0,0.930556,17610.6,1,1,363.101,0.99995,363.082,16.0451,0.124649,299,2.67128
0,137,6.85e-06,1.9969,-0.00224309,0,0.00748668,0.00733738,0,0.931035,17605.2,1,1,65.9061,0.999936,65.9019,16.1646,0.123727,543,1.99688
0,138,6.9e-06,2.63337,-0.00240201,0,0.00801689,0.00738901,0,0.931507,17610.1,1,1,127.814,0.999915,127.804,16.3288,0.122483,266.5,2.63335
0,139,6.95e-06,2.30194,-0.00237733,0,0.00793403,0.00732298,0,0.931973,17605.5,1,1,95.2579,0.999925,95.2508,16.3516,0.122312,371,2.30192
0,140,7e-06,1.55737,-0.00220277,0,0.00735121,0.00709403,0,0.932432,17604.5,1,1,42.7249,0.999965,42.7234,16.1589,0.123771,764,1.55735
0,141,7.05e-06,1.7238,-0.00220625,0,0.0073627,0.00706228,0,0.932886,17608.4,1,1,60.2488,0.999974,60.2472,16.2464,0.123104,687,1.72378
0,142,7.1e-06,3.09388,-0.00244134,0,0.00815478,0.00789634,0,0.933333,17604.7,1,1,548.097,0.999957,548.073,16.2867,0.1228,105,3.09385
0,143,7.15e-06,3.07967,-0.00258475,0,0.00863438,0.00788154,0,0.933775,17602.2,1,1,512.907,0.999952,512.883,16.1196,0.124073,102.5,3.07964
0,144,7.2e-06,2.45599,-0.00232126,0,0.00775038,0.0076421,0,0.934211,17605.8,1,1,245.992,0.999955,245.981,16.3467,0.122349,327.5,2.45597
0,145,7.25e-06,1.41115,-0.00221576,0,0.00739424,0.00693249,0,0.934641,17603.3,1,1,27.8044,0.999916,27.8021,16.2171,0.123327,822,1.41113
0,146,7.3e-06,2.02422,-0.00219655,0,0.00733157,0.00709681,0,0.935065,17603.8,1,1,109.734,0.999947,109.728,16.3433,0.122375,526,2.0242
